X,Y,Z,Q1,Q2,Q3,Q4,Q5,Q6
-80.4749,-33.1595,-16.6292,27.9421,29.1059,24.4679,8.42929,-15.9919,-8.85657
-80.4796,-33.5124,-16.6203,27.9421,28.9656,24.3979,8.42929,-15.9919,-8.85657
-80.4866,-34.1009,-16.6071,27.9421,28.7318,24.2812,8.42929,-15.8454,-8.85657
-80.4472,-34.8523,-16.6813,27.9421,28.4513,24.0944,8.42929,-15.6256,-8.71008
-80.3942,-35.556,-16.7813,27.9421,28.1941,23.9076,8.42929,-15.3327,-8.4171
-80.3511,-36.1898,-16.8625,27.9421,27.9603,23.7442,8.42929,-14.9664,-8.12412
-80.3294,-36.5657,-16.9034,27.9421,27.8201,23.6508,8.42929,-14.527,-7.75789
-80.3651,-36.7101,-16.8362,27.9421,27.7499,23.6508,8.35605,-14.234,-7.46491
-80.3651,-36.7101,-16.8362,27.9421,27.7499,23.6508,8.42929,-13.941,-7.24518
-80.3651,-36.7101,-16.8362,27.9421,27.7499,23.6508,8.35605,-13.7213,-7.09868
-80.3651,-36.7101,-16.8362,27.9421,27.7499,23.6508,8.35605,-13.5015,-6.87895
-80.3884,-36.6883,-16.7922,27.9421,27.7499,23.6741,8.35605,-13.4283,-6.8057
-80.3884,-36.6883,-16.7922,27.9421,27.7499,23.6741,8.35605,-13.355,-6.73246
-80.3884,-36.6883,-16.7922,27.9421,27.7499,23.6741,8.35605,-13.2818,-6.65921
-80.3884,-36.6883,-16.7922,27.9421,27.7499,23.6741,8.35605,-13.2086,-6.58597
-80.3884,-36.6883,-16.7922,27.9421,27.7499,23.6741,8.35605,-13.2086,-6.51272
-80.3884,-36.6883,-16.7922,27.9421,27.7499,23.6741,8.35605,-13.2086,-6.43948
-80.3884,-36.6883,-16.7922,27.9421,27.7499,23.6741,8.2828,-13.1353,-6.43948
-80.3884,-36.6883,-16.7922,27.9421,27.7499,23.6741,8.35605,-13.1353,-6.36623
-80.3765,-36.6401,-16.8146,27.9421,27.7733,23.6741,8.2828,-13.0621,-6.43948
-80.3765,-36.6401,-16.8146,27.9421,27.7733,23.6741,8.2828,-13.1353,-6.43948
-80.3765,-36.6401,-16.8146,27.9421,27.7733,23.6741,8.2828,-13.0621,-6.36623
-80.3765,-36.6401,-16.8146,27.9421,27.7733,23.6741,8.2828,-13.0621,-6.36623
-80.3765,-36.6401,-16.8146,27.9421,27.7733,23.6741,8.2828,-13.0621,-6.36623
