X,Y,Z,Q1,Q2,Q3,Q4,Q5,Q6
-80.3765,-36.6401,-16.8146,27.9421,27.7733,23.6741,8.2828,-13.0621,-6.36623
-80.3647,-36.592,-16.837,27.9421,27.7967,23.6741,8.35605,-13.0621,-6.36623
-80.3647,-36.592,-16.837,27.9421,27.7967,23.6741,8.2828,-13.0621,-6.36623
-80.3647,-36.592,-16.837,27.9421,27.7967,23.6741,8.2828,-12.9888,-6.36623
-80.3528,-36.5438,-16.8594,27.9421,27.8201,23.6741,8.35605,-13.0621,-6.36623
-80.3528,-36.5438,-16.8594,27.9421,27.8201,23.6741,8.2828,-12.9888,-6.36623
-80.3409,-36.4957,-16.8818,27.9421,27.8434,23.6741,8.2828,-12.9888,-6.36623
-80.3523,-36.4258,-16.8603,27.9421,27.8668,23.6975,8.35605,-12.9888,-6.36623
-80.3284,-36.3296,-16.9053,27.9421,27.9136,23.6975,8.2828,-13.0621,-6.36623
-80.3045,-36.2335,-16.9504,27.9421,27.9603,23.6975,8.35605,-13.0621,-6.36623
-80.2303,-36.1854,-16.9399,27.9186,27.9837,23.6975,8.2828,-13.0621,-6.36623
-80.1944,-36.0413,-17.0076,27.9186,28.0538,23.6975,8.35605,-13.0621,-6.43948
-80.0842,-35.8493,-17.0653,27.895,28.1474,23.6975,8.35605,-13.0621,-6.36623
-79.9109,-35.5398,-17.092,27.8479,28.2876,23.7208,8.35605,-13.0621,-6.36623
-79.8218,-35.0912,-17.1102,27.8243,28.4747,23.7909,8.35605,-13.1353,-6.36623
-79.6967,-34.6173,-17.1966,27.8008,28.6851,23.8376,8.2828,-13.1353,-6.43948
-79.6063,-34.1698,-17.2174,27.7772,28.8721,23.9076,8.2828,-13.2086,-6.36623
-79.4055,-33.6498,-17.2974,27.7301,29.1059,23.9543,8.2828,-13.2818,-6.36623
-79.1402,-33.0138,-17.3502,27.6594,29.3864,24.0243,8.20956,-13.4283,-6.43948
-78.8967,-32.357,-17.362,27.5887,29.6669,24.1177,8.20956,-13.5748,-6.36623
-78.675,-31.6792,-17.3328,27.518,29.9475,24.2345,8.20956,-13.7945,-6.36623
-78.4393,-30.9555,-17.3309,27.4474,30.2514,24.3512,8.20956,-14.0875,-6.43948
-78.2502,-30.3044,-17.2395,27.3767,30.5086,24.4913,8.13631,-14.3805,-6.43948
-78.0244,-29.6298,-17.2192,27.306,30.7891,24.608,8.06307,-14.7467,-6.43948
-77.8005,-29.0722,-17.1959,27.2353,31.0229,24.7014,7.98982,-15.1129,-6.43948
-77.5723,-28.3997,-17.1812,27.1646,31.3034,24.8181,7.98982,-15.4792,-6.43948
-77.3464,-27.844,-17.1625,27.094,31.5372,24.9115,7.91658,-15.7721,-6.43948
-76.9331,-27.2892,-17.051,26.9526,31.771,25.0049,7.84333,-16.2116,-6.43948
-76.4656,-26.6659,-16.8929,26.7877,32.0281,25.1217,7.69684,-16.6511,-6.43948
-75.9748,-26.0668,-16.7823,26.6228,32.2853,25.215,7.55035,-17.0173,-6.43948
-75.2826,-25.4229,-16.6087,26.3872,32.5658,25.3084,7.40386,-17.3835,-6.43948
-74.4426,-24.8037,-16.4236,26.1044,32.8464,25.3785,7.11088,-17.823,-6.43948
-73.493,-24.0483,-16.1503,25.7746,33.1737,25.4952,6.8179,-18.1892,-6.36623
-72.4237,-23.2258,-15.8097,25.3976,33.5243,25.6353,6.45167,-18.5555,-6.36623
-71.2963,-22.3366,-15.4345,24.9971,33.8984,25.7987,6.0122,-18.9217,-6.36623
-70.0337,-21.3359,-15.026,24.5495,34.3192,25.9855,5.49948,-19.2147,-6.36623
-68.7232,-20.3139,-14.5611,24.0783,34.74,26.1956,4.98677,-19.7274,-6.21974
-67.476,-19.4076,-14.1284,23.6306,35.1141,26.3824,4.32756,-20.3133,-6.07325
-66.2299,-18.6163,-13.6974,23.183,35.4414,26.5458,3.66836,-20.8993,-5.70703
-64.9011,-18.0032,-13.1094,22.6882,35.6751,26.7093,2.86266,-21.412,-5.3408
-63.4135,-17.4835,-12.5431,22.1464,35.8855,26.826,2.20345,-21.9247,-4.82808
-61.9787,-17.033,-12.0333,21.628,36.0726,26.9194,1.39775,-22.291,-4.16888
-60.5451,-16.6955,-11.5231,21.1097,36.2128,26.9894,0.665303,-22.6572,-3.43643
-59.2079,-16.52,-11.1509,20.6385,36.3063,26.9894,-0.0671484,-22.8769,-2.77722
-57.8094,-16.457,-10.7515,20.1438,36.3531,26.9661,-0.94609,-23.0967,-2.04477
-56.2893,-16.4378,-10.2879,19.6019,36.3765,26.9427,-1.82503,-23.1699,-1.31232
-54.8747,-16.5116,-9.94506,19.1071,36.3765,26.8727,-2.70397,-23.3164,-0.579865
-53.1767,-16.678,-9.58866,18.5181,36.3531,26.756,-3.72941,-23.3164,0.225832
-51.6178,-16.8877,-9.2624,17.9763,36.3063,26.6392,-4.5351,-23.3896,1.03153
-50.1932,-17.209,-8.97796,17.4815,36.2128,26.4991,-5.26756,-23.3896,1.76398
-48.6592,-17.7299,-8.59081,16.9396,36.0258,26.3357,-6.07325,-23.3164,2.71617
-47.244,-18.3867,-8.29127,16.4449,35.792,26.1256,-6.95219,-23.2431,3.59511
-45.9759,-19.1318,-7.98368,15.9972,35.5115,25.9155,-7.90438,-22.9502,4.62054
-44.9199,-19.966,-7.68424,15.6203,35.1842,25.7053,-8.63683,-22.5839,5.49948
-43.8999,-21.0286,-7.51341,15.2669,34.7868,25.4018,-9.36928,-21.998,6.45167
-42.9519,-22.1363,-7.34365,14.937,34.366,25.0983,-9.95525,-21.4853,7.33061
-41.8422,-23.4712,-7.25517,14.5601,33.875,24.7014,-10.468,-20.8261,8.42929
-40.7919,-24.8734,-7.22055,14.2067,33.3607,24.2812,-11.1272,-20.0204,9.38148
-40.0028,-26.1617,-7.27901,13.9475,32.8931,23.8843,-11.7131,-19.2147,10.1139
-39.6265,-27.3597,-7.37987,13.8297,32.4489,23.534,-12.1526,-18.409,10.9196
-39.4609,-28.6497,-7.48266,13.7826,31.958,23.1838,-12.5188,-17.4568,11.5056
-39.3711,-29.9192,-7.56312,13.759,31.4671,22.857,-12.8118,-16.5778,12.0915
-39.4178,-31.2365,-7.65855,13.7826,30.9527,22.5301,-12.9583,-15.6256,12.7508
-39.4929,-32.7311,-7.92277,13.8297,30.3917,22.1099,-13.0315,-14.6735,13.4832
-39.6124,-34.3129,-8.28839,13.9004,29.8072,21.6429,-13.0315,-13.648,13.9959
-39.6372,-35.9325,-8.75095,13.9475,29.2228,21.1293,-13.0315,-12.6958,14.5086
-39.7705,-37.8642,-9.33278,14.0417,28.5214,20.5222,-12.8118,-11.6704,14.9481
-40.104,-40.1173,-9.93777,14.2067,27.6798,19.8685,-12.5921,-10.4252,15.2411
-40.3291,-42.5845,-10.6847,14.348,26.768,19.1214,-12.2258,-9.18007,15.5341
-40.5709,-45.3758,-11.62,14.5129,25.7394,18.2576,-11.8596,-7.64192,15.7538
-40.9408,-48.3053,-12.5697,14.725,24.6406,17.3937,-11.4201,-6.10378,15.9003
-41.4424,-51.3107,-13.5135,14.9841,23.4951,16.5532,-10.9807,-4.27265,16.0468
-42.0204,-54.2152,-14.3995,15.2669,22.3729,15.7828,-10.468,-2.36827,16.1933
-42.4522,-56.9946,-15.0532,15.4789,21.2742,15.129,-9.80876,-0.463898,16.2665
-42.5936,-59.5674,-15.5201,15.5731,20.2455,14.5687,-9.44253,1.36723,16.2665
-42.6205,-62.2324,-15.9086,15.6203,19.1701,14.0317,-9.00306,3.34485,16.3398
-42.4941,-64.747,-16.1192,15.5967,18.1415,13.5881,-8.71008,5.32247,16.413
-42.271,-67.0098,-16.1941,15.526,17.2064,13.2379,-8.4171,7.22684,16.413
-41.911,-68.8918,-16.0337,15.3847,16.4115,13.0278,-8.27061,8.83824,16.5595
-41.5098,-70.3642,-15.7762,15.2197,15.7803,12.911,-8.12412,10.5229,16.7792
-40.8055,-71.6589,-15.3896,14.937,15.2192,12.841,-7.97763,12.1343,17.1455
-39.8417,-72.5118,-14.9572,14.5601,14.8452,12.8176,-7.90438,13.5259,17.6582
-38.4798,-73.1553,-14.4936,14.0417,14.5646,12.7943,-7.97763,14.7711,18.2441
-36.8642,-73.6822,-13.959,13.4292,14.3308,12.7943,-8.27061,15.8698,18.9033
-34.9863,-74.2097,-13.3857,12.7224,14.0971,12.7943,-8.78332,16.7487,19.4893
-32.849,-74.8433,-12.7576,11.9213,13.8165,12.7943,-9.51578,17.4812,20.2218
-30.4434,-75.4777,-12.1118,11.0261,13.536,12.7943,-10.5412,18.2869,20.881
-27.9584,-76.0599,-11.5071,10.1072,13.2788,12.7943,-11.5666,18.9461,21.4669
-25.5974,-76.5777,-10.9253,9.2355,13.045,12.8176,-12.7386,19.4588,21.9796
-22.9708,-77.0308,-10.3028,8.26955,12.8346,12.8643,-14.057,19.8983,22.5656
-20.3153,-77.4554,-9.84278,7.30359,12.6476,12.8643,-15.2289,20.3377,23.1516
-17.8481,-77.9334,-9.43903,6.40831,12.4372,12.8643,-16.3276,20.7772,23.6643
-15.1131,-78.5181,-9.02748,5.41879,12.18,12.8643,-17.7192,20.9969,24.1038
-12.6344,-79.2632,-8.65269,4.52351,11.8527,12.8643,-18.9644,21.3632,24.47
-10.279,-80.0091,-8.32916,3.67535,11.5255,12.8643,-20.2828,21.5829,24.763
-7.85163,-80.8627,-8.02034,2.80364,11.1514,12.8643,-21.6012,21.9491,25.0559
-5.74432,-81.2899,-7.84748,2.04972,10.9644,12.8643,-22.7732,22.1689,25.3489
-3.56636,-81.3968,-7.76366,1.27224,10.9176,12.8643,-23.9451,22.4618,25.6419
-1.32115,-81.2244,-7.70754,0.471199,10.9878,12.8877,-25.117,22.6083,25.8616
0.727457,-80.7364,-7.52263,-0.25916,11.1748,13.0044,-26.4354,22.6816,26.0081
2.51674,-80.2891,-7.29741,-0.895278,11.3384,13.1445,-27.6806,22.7548,26.0814
4.11215,-79.8412,-7.08819,-1.46072,11.5021,13.2846,-28.8525,22.7548,26.1546
5.70964,-79.3521,-6.95987,-2.02616,11.6891,13.4013,-30.0977,22.7548,26.2279
7.17382,-78.769,-6.91815,-2.54448,11.9229,13.4947,-31.1963,22.6816,26.3011
8.84477,-77.7093,-6.78406,-3.13347,12.3437,13.6815,-32.295,22.4618,26.3744
10.3861,-76.4246,-6.66156,-3.67535,12.858,13.8916,-33.2472,22.2421,26.4476
12.0034,-74.6112,-6.47321,-4.24079,13.5827,14.1951,-34.1994,21.8026,26.4476
13.5088,-72.5727,-6.08973,-4.75911,14.3776,14.6154,-35.1516,21.2167,26.4476
14.8225,-70.467,-5.69036,-5.20675,15.1958,15.059,-36.177,20.5575,26.4476
16.2216,-68.2648,-5.19514,-5.67795,16.0374,15.5726,-37.056,19.825,26.4476
17.6293,-65.7698,-4.71732,-6.14915,16.996,16.133,-38.0814,18.7263,26.5208
18.9141,-63.4806,-4.20855,-6.57323,17.8609,16.6933,-39.0336,17.7741,26.5208
19.9983,-61.137,-3.73477,-6.92663,18.7493,17.2536,-40.059,16.529,26.5208
20.4374,-58.7718,-3.51822,-7.06799,19.6844,17.6972,-41.0844,15.2838,26.5208
20.3122,-56.1734,-3.41726,-7.02087,20.7365,18.1175,-41.8169,13.9654,26.5941
19.7842,-53.4989,-3.22882,-6.83239,21.8119,18.5844,-42.4029,12.647,26.5208
19.2219,-50.5407,-2.73552,-6.62035,22.9574,19.2381,-42.8423,11.1821,26.5208
18.5924,-47.6676,-2.19602,-6.38475,24.0562,19.9152,-43.2086,9.49744,26.5941
18.0183,-44.9831,-1.74941,-6.17271,25.0848,20.5456,-43.5748,7.81281,26.5941
17.4357,-42.6537,-1.35779,-5.96067,25.9732,21.1059,-43.941,6.12817,26.5941
16.9128,-40.7466,-1.03869,-5.77219,26.6979,21.5729,-44.234,4.73651,26.5941
16.381,-38.6273,-0.793224,-5.58371,27.5161,22.0632,-44.3805,3.05187,26.5941
15.8474,-36.4428,-0.55288,-5.39523,28.3578,22.5768,-44.6002,1.44048,26.5941
15.4525,-34.2408,-0.306424,-5.25387,29.1994,23.1138,-44.8199,0.122064,26.5208
14.9273,-31.6284,0.0560117,-5.06539,30.1813,23.7909,-44.9664,-1.48933,26.3011
14.2719,-28.882,0.556368,-4.82979,31.1865,24.5613,-45.2594,-3.10072,26.0081
13.332,-26.0656,1.05138,-4.49995,32.2152,25.3551,-45.6256,-4.78536,25.5687
12.0274,-23.2968,1.42174,-4.05231,33.2438,26.1022,-45.8454,-6.47,25.2757
10.4931,-20.6293,1.55565,-3.53399,34.2724,26.756,-45.9919,-8.0814,25.1292
8.59513,-17.7736,1.44506,-2.89788,35.418,27.3863,-46.0651,-9.83928,24.9095
6.55575,-14.9854,1.17203,-2.21464,36.5635,27.97,-45.9186,-11.6704,24.6165
4.5224,-12.2858,0.810825,-1.5314,37.6857,28.5304,-45.6989,-13.5748,24.1038
2.70714,-10.1203,0.444146,-0.918838,38.5974,28.974,-45.4059,-15.2594,23.5178
0.484546,-7.49975,-0.0114691,-0.16492,39.6962,29.5343,-45.1129,-17.1638,22.7121
-2.00004,-5.20033,-0.636486,0.683239,40.7015,29.9779,-44.6002,-19.0682,21.8332
-4.87924,-3.00202,-1.27233,1.67276,41.66,30.4215,-43.8678,-21.0458,21.0275
-8.07749,-1.13337,-2.00822,2.78008,42.5016,30.7717,-42.8423,-23.0967,20.002
-10.7156,0.279212,-2.59726,3.69891,43.1328,31.0519,-41.7437,-24.7813,19.2696
-13.4114,1.43032,-3.15211,4.64131,43.6471,31.2853,-40.7182,-26.4659,18.2441
-16.4991,2.40195,-3.77891,5.72507,44.0913,31.4721,-39.473,-28.0773,17.292
-19.9149,3.05076,-4.4211,6.92663,44.3952,31.5888,-38.1546,-29.469,16.3398
-23.1761,3.32252,-5.1198,8.08107,44.5589,31.5888,-36.6165,-30.5677,15.3143
-26.6272,3.38187,-5.85711,9.30618,44.629,31.5422,-34.6389,-31.7396,14.2157
-29.7359,3.22959,-6.54672,10.4135,44.6056,31.4488,-32.7345,-32.5453,13.0437
-33.1709,2.86594,-7.30519,11.6386,44.4887,31.3087,-30.5371,-33.2777,11.6521
-35.9742,2.13953,-8.08997,12.6517,44.2549,31.0285,-28.5595,-33.8637,10.3337
-38.6459,0.863178,-9.10824,13.6412,43.8575,30.5149,-26.5087,-34.3032,8.79552
-40.9316,-1.03519,-10.2267,14.5129,43.2497,29.7678,-24.3845,-34.5229,7.4771
-42.6924,-3.37484,-11.4295,15.2197,42.5016,28.8339,-22.2604,-34.4497,6.15869
-43.5905,-6.2366,-12.6859,15.6438,41.5898,27.6665,-20.2828,-33.7904,4.76703
-43.8044,-9.34384,-13.6387,15.8087,40.5378,26.4758,-18.6714,-32.8383,3.37537
-43.5381,-12.6895,-14.5792,15.8087,39.3923,25.1917,-17.2798,-31.5931,2.20345
-43.0231,-15.6845,-15.4391,15.7145,38.3636,24.0243,-16.4008,-30.2747,1.39775
-42.0469,-19.6847,-16.5165,15.4789,36.9609,22.4834,-15.3754,-28.59,0.665303
-40.9044,-23.0262,-17.5118,15.1726,35.792,21.1526,-14.8627,-26.7589,0.152587
-39.3915,-26.8283,-18.4649,14.725,34.4127,19.7051,-14.35,-24.4883,-0.360129
-37.6428,-30.4915,-19.1442,14.1595,33.0334,18.3976,-14.057,-22.0712,-0.726355
-35.8292,-33.9703,-19.3788,13.5234,31.6541,17.3237,-14.057,-19.6541,-0.94609
-34.0763,-37.1346,-19.4134,12.8873,30.3683,16.4365,-14.4232,-17.1638,-1.16583
-32.6206,-40.1669,-19.3064,12.3454,29.1059,15.6894,-14.9359,-14.7467,-1.31232
-31.4254,-43.1186,-19.1972,11.8978,27.8668,15.0123,-15.5219,-12.4761,-1.45881
-30.3502,-46.2896,-19.1374,11.4973,26.5343,14.3119,-16.1078,-10.1323,-1.53205
-29.2795,-49.2874,-19.0663,11.0967,25.2718,13.6815,-16.6938,-7.71517,-1.67854
-28.4933,-51.8505,-18.8477,10.7905,24.1731,13.2379,-17.2065,-5.59106,-1.67854
-27.9744,-54.2776,-18.5583,10.5784,23.121,12.8877,-17.7192,-3.3937,-1.75179
-28.0168,-56.6434,-18.331,10.5784,22.0924,12.5842,-18.232,-1.34284,-1.82503
-28.496,-59.3381,-18.1623,10.7433,20.9235,12.2573,-18.5982,0.341799,-1.82503
-29.2626,-62.503,-18.1717,11.0261,19.5676,11.8371,-18.8912,2.02644,-1.89828
-30.2209,-65.9961,-18.193,11.3795,18.0714,11.4168,-19.0376,3.78432,-1.89828
-31.2484,-69.156,-18.202,11.7564,16.7154,11.09,-19.0376,5.46896,-1.89828
-32.5764,-72.2718,-18.0291,12.2276,15.3595,10.9032,-19.0376,7.22684,-1.97152
-34.0939,-75.0062,-17.9145,12.7695,14.1672,10.7864,-18.9644,8.83824,-1.97152
-35.7473,-77.4059,-17.815,13.3585,13.1152,10.7397,-18.7447,10.2299,-1.97152
-37.734,-79.8486,-17.7387,14.0653,12.0398,10.7397,-18.4517,11.5483,-1.97152
-40.0904,-82.3546,-17.8216,14.9135,10.941,10.7397,-17.7925,12.8667,-2.04477
-42.686,-84.5382,-18.0603,15.8559,9.98249,10.7631,-16.9868,14.1119,-2.04477
-45.1923,-86.2985,-18.4264,16.7747,9.21101,10.7864,-16.0346,15.2106,-2.04477
-48.0911,-87.6552,-18.8765,17.8349,8.60318,10.8798,-14.8627,16.1628,-2.19126
-50.9862,-88.6803,-19.3897,18.8951,8.13562,10.9966,-13.471,17.0417,-2.55748
-53.9814,-89.4589,-19.8667,19.9788,7.76156,11.1833,-12.2258,17.7009,-2.99696
-57.4774,-90.1938,-20.3753,21.2275,7.38751,11.4635,-10.9807,18.3601,-3.58292
-61.0683,-90.7088,-20.7447,22.4762,7.0836,11.8604,-9.58902,18.8728,-4.09563
-64.4923,-90.8823,-21.1128,23.6542,6.91995,12.2807,-7.97763,19.3855,-4.46186
-67.7665,-90.7367,-21.5895,24.7851,6.89657,12.6776,-6.51272,19.7518,-4.82808
-71.4882,-90.3195,-22.1488,26.0573,6.9667,13.1679,-4.97457,20.0447,-5.12106
-75.3617,-89.6253,-22.6709,27.3531,7.13035,13.7515,-3.36318,20.2645,-5.41405
-79.0727,-88.8907,-23.3313,28.6018,7.31738,14.2885,-1.67854,20.411,-5.56054
-83.1753,-87.8734,-24.1017,29.9683,7.59792,14.9189,0.152587,20.4842,-5.70703
-86.8087,-86.7123,-25.1074,31.2169,7.97197,15.4092,1.83723,20.4842,-5.85352
-90.5329,-85.3273,-26.3116,32.5127,8.43953,15.8995,3.7416,20.3377,-6.07325
-94.1058,-83.6886,-27.4461,33.7379,9.00061,16.4365,5.64597,20.118,-6.36623
-97.3697,-81.9869,-28.4889,34.8452,9.58506,16.9735,7.33061,19.7518,-6.58597
-100.702,-79.9224,-29.6238,35.9761,10.3098,17.5571,9.0885,19.3123,-6.8057
-103.779,-77.7951,-30.6937,37.0127,11.0579,18.1408,10.6999,18.7263,-6.95219
-107.078,-75.3585,-31.7713,38.0965,11.8995,18.8412,12.6043,18.1404,-7.09868
-110.313,-72.6952,-32.7697,39.1331,12.8113,19.6117,14.3621,17.3347,-7.24518
-113.146,-70.0733,-33.7561,40.0519,13.723,20.3121,16.0468,16.529,-7.39166
-115.906,-67.086,-34.7669,40.9472,14.775,21.0592,17.7314,15.65,-7.6114
-118.446,-63.8998,-35.8542,41.7954,15.9206,21.783,19.3428,14.6246,-7.83114
-120.855,-60.7189,-36.7964,42.5728,17.0427,22.5535,20.881,13.5259,-8.05087
-123.028,-57.634,-37.5948,43.2561,18.1181,23.3239,22.1261,12.354,-8.34385
-125.558,-54.3055,-38.4833,44.0336,19.2403,24.2345,23.4446,11.1088,-8.56359
-128.396,-50.7731,-39.4232,44.8817,20.3858,25.2851,24.8362,9.86367,-8.85657
-131.199,-47.4986,-40.2417,45.6828,21.3911,26.3591,26.2279,8.6185,-9.14955
-135.784,-41.3776,-41.7391,47.0021,23.2847,28.2735,28.4985,6.42115,-9.95525
-138.739,-36.8425,-42.7711,47.8503,24.6874,29.651,30.0366,4.73651,-10.6877
-141.079,-32.7908,-43.6812,48.5335,25.9498,30.8417,31.355,3.27161,-11.4201
-143.441,-28.6219,-44.4021,49.1696,27.1889,32.1492,32.527,1.73346,-12.2258
-145.798,-24.1292,-45.0639,49.7822,28.498,33.5734,33.6989,0.195309,-13.0315
-148.163,-19.1625,-45.5504,50.3476,29.9007,35.1843,35.0173,-1.48933,-13.9837
-149.924,-14.233,-45.8493,50.7482,31.3268,36.7019,36.1892,-3.10072,-14.7894
-151.331,-9.25929,-46.0423,51.0544,32.7762,38.1961,37.2146,-4.93185,-15.5219
-152.575,-3.94171,-46.1734,51.3136,34.3192,39.7837,38.2401,-6.68974,-16.2543
-153.475,1.27589,-46.0736,51.455,35.8154,41.348,39.2655,-8.59411,-17.06
-154.203,6.54565,-45.8038,51.5256,37.2882,42.959,40.2177,-10.5717,-17.7925
-154.674,11.3133,-45.4295,51.5256,38.5974,44.4298,40.9501,-12.4029,-18.5249
-155.044,16.2983,-44.9274,51.4785,39.93,45.9941,41.8291,-14.4537,-19.3306
-155.275,21.3854,-44.2212,51.3607,41.2391,47.6284,42.708,-16.5046,-20.1363
-155.279,26.1346,-43.3786,51.1722,42.4314,49.1693,43.5137,-18.3357,-20.8688
-154.999,31.2758,-42.3388,50.8895,43.7172,50.827,44.3927,-20.4598,-21.6745
-154.592,35.7068,-41.2909,50.5832,44.7926,52.2745,45.1984,-22.5107,-22.3337
-153.848,39.9934,-39.9828,50.1592,45.8213,53.6754,45.8576,-24.7813,-23.1394
-152.892,43.8731,-38.7408,49.7115,46.7798,54.9128,46.59,-26.9786,-23.7986
-151.639,47.6176,-37.5364,49.2168,47.7617,56.0568,47.0295,-29.1028,-24.531
-150.041,51.216,-36.31,48.6513,48.7669,57.1074,47.469,-31.1536,-25.117
-148.016,54.9243,-34.8165,47.9445,49.819,58.1814,47.8352,-33.4242,-25.6297
-145.938,57.9157,-33.3883,47.2377,50.7073,59.0219,48.1282,-35.2554,-25.9959
-143.559,60.5816,-31.9283,46.4602,51.5723,59.7223,48.2747,-37.1597,-26.2157
-140.88,62.9311,-30.3347,45.5885,52.3906,60.306,48.2747,-39.2838,-26.4354
-137.902,64.8865,-28.8486,44.6697,53.2088,60.7029,48.0549,-41.3347,-26.5819
-134.727,66.3471,-27.3841,43.7037,53.9569,60.913,47.5422,-43.2391,-26.7284
-131.099,67.616,-25.645,42.5728,54.6816,61.0531,46.59,-45.1434,-26.8749
-128.029,68.4298,-24.1819,41.6069,55.2193,61.0998,45.6378,-46.8281,-26.8016
-124.608,69.0775,-22.4504,40.4996,55.7103,61.0998,44.3194,-48.5127,-26.5087
-121.09,69.3411,-20.7687,39.3687,56.1311,60.9597,42.8545,-50.0509,-25.703
-117.258,69.1298,-19.0394,38.1436,56.4817,60.6328,40.9501,-51.4425,-24.2381
-113.921,68.5017,-17.6282,37.0834,56.6921,60.1893,39.0458,-52.468,-22.6999
-110.271,67.5992,-16.0465,35.9054,56.8324,59.6523,36.5554,-53.2737,-20.649
-106.781,66.4432,-14.5663,34.7745,56.8792,59.0452,34.0651,-54.0061,-18.232
-103.599,65.2058,-13.2313,33.7379,56.8558,58.4382,31.5748,-54.5188,-15.7416
-100.275,63.3976,-12.0215,32.6777,56.7389,57.5977,28.8647,-54.8118,-12.8851
-97.5039,60.8803,-11.1288,31.8059,56.4116,56.5237,26.0081,-54.8851,-9.95525
-95.3838,58.0685,-10.5187,31.1463,55.944,55.3797,23.7375,-54.6653,-7.24518
-93.5836,54.592,-10.1364,30.6044,55.2894,54.0022,21.4669,-54.0061,-4.5351
-92.5114,50.9888,-10.0237,30.2981,54.518,52.6247,19.6358,-53.0539,-2.19126
-91.9589,46.6472,-10.3733,30.2039,53.5595,50.9671,18.0977,-51.882,0.0793419
-91.9242,41.6189,-10.8801,30.2746,52.3204,49.1226,16.9257,-50.2706,1.83723
-92.6674,36.0552,-11.6854,30.6044,50.8242,47.1615,16.0468,-48.3662,3.15564
-94.0863,30.0591,-12.6657,31.1463,49.0708,45.1536,15.6073,-46.3154,4.32756
-96.0684,23.788,-14.1522,31.9237,47.2006,43.0757,15.6073,-44.0448,5.27975
-98.2411,17.1659,-15.8832,32.7955,45.1667,40.9278,15.6806,-41.5544,5.93896
-100.503,10.3559,-17.5998,33.6907,42.9691,38.8265,16.12,-38.9176,6.45167
-102.837,3.41708,-19.0696,34.5625,40.5846,36.8653,16.4863,-36.1343,6.89114
-105.233,-3.19239,-20.4597,35.4342,38.2234,35.1376,17.1455,-33.2777,7.18412
-107.351,-9.49861,-21.4832,36.1645,35.8855,33.6434,17.8779,-30.3479,7.40386
-109.33,-15.789,-22.4596,36.8478,33.5243,32.2426,18.8301,-27.5646,7.69684
-110.947,-22.0534,-23.3064,37.4132,31.1631,30.9118,19.709,-24.7813,7.84333
-112.114,-28.1435,-23.8847,37.8137,28.8487,29.6977,20.588,-21.9247,7.91658
-112.297,-33.9201,-24.1394,37.908,26.6979,28.507,21.3937,-19.1414,8.06307
-111.818,-39.3594,-24.2668,37.8137,24.7108,27.3396,21.9796,-16.5046,8.13631
-110.738,-44.1209,-24.0724,37.5075,22.9808,26.3124,22.3459,-13.941,8.20956
-109.401,-48.545,-23.7318,37.1069,21.3677,25.3785,22.4191,-11.5972,8.20956
